handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
iraninarabic,https://t.me/s/iraninarabic,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranintl_en,https://t.me/s/iranintl_en,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranintltv,https://t.me/s/iranintltv,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranischeskonsulatfrankfurt,https://t.me/s/iranischeskonsulatfrankfurt,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranmoneyex,https://t.me/s/iranmoneyex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irna_en,https://t.me/s/irna_en,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irr_toman,https://t.me/s/irr_toman,,unknown,unclear,False,0,0,False,False,False,,not_crawled
javanlondon,https://t.me/s/javanlondon,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kabul_exchange_rate_services,https://t.me/s/kabul_exchange_rate_services,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kabul_sarafi,https://t.me/s/kabul_sarafi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
live_rate_ir,https://t.me/s/live_rate_ir,,unknown,unclear,False,0,0,False,False,False,,not_crawled
mfairan,https://t.me/s/mfairan,,unknown,unclear,False,0,0,False,False,False,,not_crawled
navasanchannel,https://t.me/s/navasanchannel,,unknown,unclear,False,0,0,False,False,False,,not_crawled
pargarexchangegroup,https://t.me/s/pargarexchangegroup,,unknown,unclear,False,0,0,False,False,False,,not_crawled
parsiyanexchangturkey,https://t.me/s/parsiyanexchangturkey,,unknown,unclear,False,0,0,False,False,False,,not_crawled
persianlondonexchange,https://t.me/s/persianlondonexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
qheimat_dolar_sabze,https://t.me/s/qheimat_dolar_sabze,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ramzinex_com,https://t.me/s/ramzinex_com,,unknown,unclear,False,0,0,False,False,False,,not_crawled
rate_online,https://t.me/s/rate_online,,unknown,unclear,False,0,0,False,False,False,,not_crawled
rezidansnow,https://t.me/s/rezidansnow,,unknown,unclear,False,0,0,False,False,False,,not_crawled
royal_rate,https://t.me/s/royal_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
saafaran,https://t.me/s/saafaran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
samaniexchange,https://t.me/s/samaniexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafha_rate,https://t.me/s/sarafha_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi,https://t.me/s/sarafi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_arzx,https://t.me/s/sarafi_arzx,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_darvish_toronto,https://t.me/s/sarafi_darvish_toronto,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_hamburg,https://t.me/s/sarafi_hamburg,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_niazi,https://t.me/s/sarafi_niazi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafibahmanica,https://t.me/s/sarafibahmanica,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafibartarlondon,https://t.me/s/sarafibartarlondon,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafijavan,https://t.me/s/sarafijavan,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafiparsilalondon,https://t.me/s/sarafiparsilalondon,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarrafiatlaslondon,https://t.me/s/sarrafiatlaslondon,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarrafifsi,https://t.me/s/sarrafifsi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sekabettesinbot,https://t.me/s/sekabettesinbot,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sekaresmi,https://t.me/s/sekaresmi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
smojtahediexchange,https://t.me/s/smojtahediexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tabdealplatform,https://t.me/s/tabdealplatform,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tasnimnews,https://t.me/s/tasnimnews,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tehrantimesplus,https://t.me/s/tehrantimesplus,,unknown,unclear,False,0,0,False,False,False,,not_crawled
toman2019,https://t.me/s/toman2019,,unknown,unclear,False,0,0,False,False,False,,not_crawled
turkishallexchange,https://t.me/s/turkishallexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
usdt_vs_toman,https://t.me/s/usdt_vs_toman,,unknown,unclear,False,0,0,False,False,False,,not_crawled
zarbanexch,https://t.me/s/zarbanexch,,unknown,unclear,False,0,0,False,False,False,,not_crawled
