handle,public_url,title,city_guess,quote_post_count,buy_sell_pair_count,parseability_score,likely_individual_shop,has_phone,has_address,has_map_link,has_shop_name,commentary_heavy,status,discovery_queries,last_seen_text_sample
talar_arzi,https://t.me/s/talar_arzi,🔴 تابلو تالار معاملات ارزی 🔵,unknown,13,0,65,False,True,True,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,فروش 10 هزارتا، دلار آبی، فردایی، سبزه میدان، 27200 [لئون] کد: 01000000428
tetherroom,https://t.me/s/tetherroom,قیمت خرید تتر | تتر روم,unknown,20,0,65,False,False,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"💵 قیمت تتر: 173600 تومان ⏰ تاریخ: 1405/3/23 06:30 📊 روند: ثبات 🔼 بالاترین قیمت: 173741 تومان 🔽 کمترین قیمت: 173126 تومان 💶 دلار سبزه فردایی: 180,800 تومان تتر روم - لحظه‌ای،سریع،دقیق 🆔 t.me/TetherRoom"
zarscan,https://t.me/s/zarscan,زر اسکن | قیمت لحظه ای طلا و دلار,unknown,20,0,65,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"طلای ۱۸: ۱۷,۴۷۵,۲۰۰ تومان طلای ۱۸ (غیر رسمی): ۱۷,۵۴۹,۵۰۱ تومان طلای ۱۸ (بر اساس انس): ۱۷,۶۲۳,۳۰۲ تومان سکه امامی: ۱۷۶,۶۰۵,۰۰۰ تومان سکه بهار آزادی: ۱۷۱,۰۶۰,۰۰۰ تومان نیم سکه: ۹۱,۹۹۰,۰۰۰ تومان ربع سکه: ۵۰,۸۵۰,۰۰۰ تومان دلار بازار آزاد: ۱۷۳,۱۹۰ تومان انس طلا: ۴۲"
denar_online,https://t.me/s/denar_online,ارز ساحلی بوکان,unknown,12,0,64,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,قیمت لحظه ای دلار 💸 🇺🇸 177000 __ #خرده #ارز_بوکان @denar_online
sabzehjust4u,https://t.me/s/sabzehjust4u,SABZEH JUST4U,Tehran,15,0,64,False,False,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,💫 دلار تهران فردایی 💥 281900 💥 معامله شد ✅ @Sabzehjust4u @Justrahabot
karajemrouz,https://t.me/s/karajemrouz,کرج امروز,Karaj,8,0,63,False,False,True,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,• عقد قرارداد رسمی مهاجم کنیایی با استقلال: به گزارش پایگاه خبری www.mashreghnews.ir باشگاه استقلال تهران رسماً از پیوستن یک مهاجم کنیایی به ترکیب خود خبر داد. ‏ @karajemrouz 🔹 🔹
samexchange,https://t.me/s/samexchange,Sam Exchange صرافی‌سام,unknown,5,0,57,False,False,False,False,True,False,ok,site:t.me/s صرافی,https://www.instagram.com/reel/DVS0AvbjkPS/?igsh=MXB5M2g4dzM2OW9yeA==
thepersianfund,https://t.me/s/thepersianfund,The Persian Fund,unknown,5,0,46,False,False,False,False,True,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,به درخواست شما عزیزان تخفیف ویژه ای به مناسبت هالووین 2025 برای شما در نظر گرفتیم. تمامی پرداخت های ریالی از طریق صرافی تترگرام با دلار 95،000 تومانی محاسبه میشود. شما میتوانید برای خرید اول از کد تخفیف First استفاده کنید و 10% تخفیف دریافت کنید. اگر قبلا چالش
dollar_sulaymaniyah,https://t.me/s/dollar_sulaymaniyah,قیمت لحظه ای دلار سلیمانیه,unknown,3,0,36,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"سلێمانی چوار شەمە 💰 172,800 فروش 🔴"
dollartehran,https://t.me/s/dollartehran,دلار و سکه تهران,Tehran,4,0,34,False,False,False,False,False,True,ok,site:t.me/s صرافی تهران دلار,💥 افزایش ۲۰۰دلاری اونس طلا در پی توافق اونس طلا از ۴۰۲۰ به ۴۲۲۰رسید @dollartehran
vaniagroup,https://t.me/s/vaniagroup,⚜مجموعه اتاقهای معاملاتی طلا،سکه،دلار، وانیا⚜,Tehran,2,0,31,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore|source_registry_rescore,https://t.me/DOLARTALAA
tradewith_x_crypto,https://t.me/s/tradewith_x_crypto,Trade with X,unknown,2,0,30,False,False,False,False,False,True,ok,channel_survey_rescore|previous_scored_rescore,SIGNAL ALERT 🚨 COIN = 1000PEPE/USDT DIRECTION = LONG ENTRY = 0.03585 TAKE PROFIT = 0.00415 STOPLOSS = 0.0032
bazari_dolaraka,https://t.me/s/bazari_dolaraka,بازاڕی دۆلارەكە,unknown,1,0,24,False,True,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore|source_registry_rescore,🔴 ترەمپ دەڵێت ئەمشەو هێرشی توندتر بۆسەر ئێران ئەنجام ئەدەین دۆناڵد ترەمپ: ⭕️ ویلایەتە یەکگرتووەکانی ئەمریکا ئەمشەو زۆر بە توندی لە ئێران دەدات ⭕️ لە داهاتوویەکی زۆر دوور نا، دوورگەی خارگ و ناوچەکانی تری ژێرخانی نەوت کۆنترۆڵ دەکەین، و دەست دەگرین بەسەر تەواوی ن
dollar_sabzetehran,https://t.me/s/dollar_sabzetehran,دلار سبزه تهران,Tehran,1,0,21,False,True,True,False,False,False,ok,site:t.me/s صرافی سبزه میدان,Channel created
beholdisraelchannel,https://t.me/s/beholdisraelchannel,Amir Tsarfati,Tehran,0,0,20,False,False,True,False,False,False,ok,sarafi telegram,"BREAKING: The Pentagon is executing a shelter-in-place after systems detected ""an air quality issue”. Precautionary measures will be in place until the DOD determines the significance of the issue."
dolareseleimani,https://t.me/s/dolareseleimani,نرخ لحظه ای دلار سلیمانیه,Tehran,0,0,20,False,False,True,False,False,False,ok,channel_survey_rescore|previous_scored_rescore|source_registry_rescore,مامانم فیک ترین خبر ممکن تو ایتا رو باور میکنه ولی حرف منو نه 🆔 @dolareseleimani
ganjoorofficial,https://t.me/s/ganjoorofficial,کانال رسمی گنجور,Dubai,0,0,20,False,False,True,False,False,False,ok,site:t.me/s صرافی منوچهری,... این نوشته را نه به عنوان گلایه بلکه بیشتر به عنوان توجیه برای آنهایی می‌نویسم که این معدود حضورهای گنجور را در رویدادهای برگزار شده از سوی نهادها را برنمی‌تابند. خواستم مطرح کنم که حضور انگشت‌شمار گنجور حتی به عنوان تقدیرشدهٔ فرعی در این رویدادها به نوعی…
nerkhyabkhorasanmarket,https://t.me/s/nerkhyabkhorasanmarket,نرخ یاب خراسان مارکت,unknown,0,0,20,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore|source_registry_rescore,"هرات کلدار افغانی 🇵🇰 224.00 خرید 225,00 فروش"
nrxidolar,https://t.me/s/nrxidolar,💰نرخی دولار nrxi dolar💰,unknown,0,0,20,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore|source_registry_rescore,"بۆڕسەی هەولێر 154,700"
souqeldahb24,https://t.me/s/souqeldahb24,قناه سوق الدهب SOUQ ELDAHB,unknown,0,0,20,False,True,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,الشاشة العالمية بالاونصة : 4231.00 $ سعر الجرام عيار ٢١: شراء: 6210.00 جنيه بيع: 6260.00 جنيه للتواصل 00971505541834 لتحميل تطبيق سوق الدهب لمعرفه باقى العيارات لحظه بلحظه يمكن الضغط على زر التحميل من الاسفل للاندرويد او الايفون
suitsvff,https://t.me/s/suitsvff,BOSS PRONO 🇨🇮🇨🇲,unknown,0,0,20,False,False,True,False,False,False,ok,previous_scored_rescore|source_registry_rescore,GGM4G
sulasokcam,https://t.me/s/sulasokcam,Sulasok.cam Channel,unknown,0,0,20,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Ang Pakay ni Bobot Ay Bumuo ng Pamilya Kasama si Charlotte https://sulasok.cam/watch/ang-pakay-ni-bobot-ay-bumuo-ng-pamilya-kasama-si-charlotte/
trade98_iq,https://t.me/s/trade98_iq,Gold matrix,unknown,0,0,20,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,خلال ساعتين كسرنا السوگ
tsepress,https://t.me/s/tsepress,اخبار بورس | Tse Press,Tehran,0,0,20,False,True,True,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,⭕️ ضد حال فرابورس به سهامداران بازار پایه! نمادهای بازار پایه فرابورس دارای حجم مبنا شدند این دامنه نوسان و حجم مبنا کی حل میشه آقای صیدی؟ @TsePress
salehdesk1,https://t.me/s/salehdesk1,אבו צאלח הדסק הערבי,unknown,0,0,19,False,False,False,False,False,False,ok,site:t.me/s صرافی منوچهری,"עוד מעט תבינו מה קרה כאן ב 24 שעות האחרונות, זה התחיל בכלל לפני שבועיים, אני הזהרתי ממנו. אבו צאלח הדסק הערבי https://t.me/salehdesk1"
sarafisanieh,https://t.me/s/sarafisanieh,Sarafi Sanieh صرافی ثانیه,unknown,0,0,19,False,False,False,False,True,False,ok,site:t.me صرافی,@SarafiSanieh کانال تلگرام @Sarafi_Sanieh تماس مستقیم 📍 180 Merrylands Rd Merrylands NSW
sarrafifsi,https://t.me/s/sarrafifsi,البروس,unknown,0,0,19,False,False,False,False,True,True,ok,site:t.me/s صرافی فردوسی,Hold: Model and Heiken Ashi do not agree on the trend.
tradgroup,https://t.me/s/tradgroup,اخبار و تحلیل بازار ارز ،سکه ،طلا و‌بورس,unknown,0,0,18,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,وضعیت انس در تایم هفتگی اگر پایان هفته بالای ۲۳۵۰ برگرده شانس ادامه حرکت در کانال بالاتر هست اما درصورت تثبیت زیر ۲۳۵۰ شانس برگشت به کانال بلند مدتی بالا خواهد رفت
kharismahsri,https://t.me/s/kharismahsri,الكاريزما للحصريات💕🔞🔥,unknown,0,0,17,False,True,False,False,False,False,ok,site:t.me/s صرافی منوچهری,اسسو 🔥 🔞 جميـع مقاطع اسو توفرت بالقناة الخاصة ومدتهم طويلة 🔥 المقاطع عبارة عن استعراض وتجليحْ وتنيـ ـك نفسها ومحنتها تجنن لايفوتكم اتكلمم عن جمال جسمها ولا عن محنتها ولا عن ايش يعني ب اختصار شي فاخر من الاخر 🔞 🔞 🔥 نبذه من مقاطعها https://twitter.com/re11kr/sta
sadafhotel16,https://t.me/s/sadafhotel16,Sadaf International Hotel,Qom,0,0,15,False,True,True,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,"Sadaf international hotel ✨ A peaceful stay, in the heart of the city. With full facilities, luxurious rooms and 24-hour service, our hotel is the ideal choice for your business and leisure trips. 🏠 Mostofit Square, Sadaf Tower Sadaf International Hotel ☎️ 937"
zoomnewskrd,https://t.me/s/zoomnewskrd,zoomnews,unknown,0,0,15,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,دیمەنێک چاو تێر نابێت لە جوانییەکەى ئەمە تاڤگەی بێنی بێستان لە نزیک سۆران.. ببینە چەند جوانە
mashhadfoolad,https://t.me/s/mashhadfoolad,صنایع فولاد سدید فردوسی,Mashhad,0,0,14,False,True,True,False,False,False,ok,site:t.me/s قیمت دلار فردوسی,🌺 با سلام و احترام 🌺 فولاد نورد 🔵 انبار مشهد 1405/02/28 #آهن #فولاد_نورد #ورق #لیزر #استیل ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ ⛔️ قیمت ها به روز با تأیید فیش واریز 📛 📛 📛 📛 📛 📛 📛 📛 📛 📛 🔹 ورق 1.5 میل روغنی ۲/۰۰۰/۰۰۰ ریال 🔹 ورق1.5میل گالوانیزه ۲/۱۰۰/۰۰۰ ریال 🔹 ورق 2 میل گ
nisireamhra,https://t.me/s/nisireamhra,️ ንስር አማራ🦅,unknown,0,0,13,False,False,False,False,False,False,ok,site:t.me/s صرافی منوچهری,"🔥 የኮሎኔል አለሜ አጃቢ እስቴ ዴንሳ ብርጌድን ተቀላቀለ ‼️ የብልፅግናው ወንበር አስጠባቂ ሀይል እየፈራረሰ ፋኖን እየተቀላቀለ ነው።ከኮሎኔል አለሜ አጃቢ በተጨማሪ በትላንትናው ዕለት ከስማዳ ""2""የአድማ ብተና ሀይል ከእስቴ ደግሞ ""3""የመከላከያ አባላት የፈራረሰውን አገዛዝ በመክዳት የሜ/ጀ/ውባንተ አባተ 1ኛ ኮር ጉና ክፍለ ጦር የእስቴ ዴንሳ ብርጌድን ተቀላቅለዋል። #ዐንድ_አማራ ‼️ #ላንጨርስ_አልጀመርንም"
sarafiapp,https://t.me/s/sarafiapp,Sarafi.app,unknown,0,0,12,False,False,False,False,True,False,ok,sarafi telegram,Channel created
sarafibahmani,https://t.me/s/sarafibahmani,صرافی بهمنی®,unknown,0,0,12,False,False,False,False,True,False,ok,site:t.me/s خرید فروش دلار تهران صرافی|site:t.me/s نرخ حواله دلار صرافی,👩🏻‍💼 🏔 زنان در اوج کسب و کارها جولیا کالینز Julia Collins (مدیر عامل و هم بنیان‌گذار Zume Pizza) @SarafiBahmani #صرافی_بهمنی
kanoonsarafan,https://t.me/s/kanoonsarafan,کانال رسمی جامعه صرافان,Dubai,0,0,11,False,True,True,False,False,False,ok,site:t.me/s صرافی ایران|site:t.me/s صرافی تهران|کانال صرافی تهران,شهادت مظلومانه تعدادی از هموطنان عزیزمان را در حادثه تروریستی زائران شهدای کرمان تسلیت عرض می نماییم
shuger5,https://t.me/s/shuger5,ሹገር ማሚ እና ሹገር ዳዲ🤑,unknown,0,0,11,False,True,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,📞 +251984065889
cerebry_javobi,https://t.me/s/cerebry_javobi,cerebry javoblari,unknown,0,0,10,False,False,False,False,False,False,ok,site:t.me/s صرافی منوچهری,2.3 PISA 2025 Matematika Savodxonlik Tanlovi 3 👇 👇
aselakan,https://t.me/s/aselakan,ئەسیلە : Asela,unknown,0,0,8,False,True,False,False,False,False,ok,site:t.me/s صرافی منوچهری,ئینگلیزی ٤ وەرزی ١ ئینگلیزی ٥ وەرزی ١ ئینگلیزی ٦ وەرزی ١ ئینگلیزی ٧ وەرزی ١ ئینگلیزی ٨ وەرزی ١ تاقیکردنەوەی ٦٠ نمرە ئەسیلە اسئلة أسئلة پرسیار Asela Asila Prsyar Prsiar چونکە کەناڵی ئەسیلە بۆ خزمەتی ئێوەیە ♦️ بنێرە بۆ مامۆستا و قوتابیەکانی هاوڕێت هاوکار بن بۆ ب
sarafijavadi,https://t.me/s/sarafijavadi,NeoEx,unknown,0,0,8,False,False,False,False,True,False,ok,site:t.me/s صرافی,Channel created
millionex,https://t.me/s/millionex,صرافی میلیون,unknown,0,0,6,False,True,False,False,True,False,ok,site:t.me صرافی,🟣 منابع بزرگ سرمایه گذاری مستقیم خارجی @MillionEx
shafilm,https://t.me/s/shafilm,Shafilm,unknown,0,0,6,False,True,True,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,"نوێترین شاکارەکانی جیهانی سینەما ئێستا لە ""شافیلم"" بەردەستن! ئەمڕۆ ٥ فیلمی جیهانیی نوێ و یەکجار ناوازەی ساڵی ٢٠٢٦ بەیەکەوە بڵاوکرانەوە، کە پڕن لە دیمەنی ئاکشن، زانستی-خەیاڵی و هەستبزوێن، هەموویان بە بەرزترین کوالێتی و وەک هەمیشە بەبێ هیچ ڕیکلامێکی بێزارکەر ئام"
baradarane_jafari,https://t.me/s/baradarane_jafari,خدمات پولی برادران جعفری,unknown,0,0,5,False,True,False,False,False,False,ok,site:t.me/s صرافی تهران,برای معلومات بیشتر و انجام حواله با واتساپ ما در ارتباط باشید 🙏🏻 🇮🇷 00989334664243 📲 ✅️ خدمات پولی برادران جعفری ✅️
netmoneyexchange,https://t.me/s/netmoneyexchange,Net Exchange|صرافی نت,unknown,0,0,5,False,True,False,False,True,False,ok,site:t.me/s صرافی,به دلیل نوسان نرخ ارز جهت اطلاع از آخرین نرخ لطفا تماس تلفنی برقرار بفرمایید ☎️ 514-917-9988 ☎️ 514-871-1119
toofanharirod_ads,https://t.me/s/toofanharirod_ads,تبلیغات مجموعه طوفان🔖,unknown,0,0,4,False,False,True,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
sabzeh49,https://t.me/s/sabzeh49,سبزه میدان,unknown,0,0,3,False,False,True,False,False,False,ok,site:t.me/s صرافی سبزه میدان,Channel created
sexsudanie,https://t.me/s/sexsudanie,نيك سوداني🔥🔞🔞,unknown,0,0,2,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
somalinud,https://t.me/s/somalinud,SOMALI NUDE 🔞❓,unknown,0,0,2,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
soomaaliqarxis,https://t.me/s/soomaaliqarxis,QOLKA QARXISKA,unknown,0,0,2,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
qolkawasmadasomali,https://t.me/s/qolkawasmadasomali,Somali Wasmo,unknown,0,0,1,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
somaliqarxis252,https://t.me/s/somaliqarxis252,Qarxis,unknown,0,0,1,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
taknrx,https://t.me/s/taknrx,Taknrx,unknown,0,0,1,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,`
wasmo_soomaaliyaa,https://t.me/s/wasmo_soomaaliyaa,Wasmo Somali,unknown,0,0,1,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,Channel created
arianex,https://t.me/s/arianex,Arian Exchange صرافى آرين,unknown,0,0,0,False,False,False,False,True,False,ok,site:t.me/s تابلوی صرافی دلار|site:t.me/s صرافی ایران,
ashna_exchange,https://t.me/s/ashna_exchange,صرافی آشنا - تورنتو کانادا,unknown,0,0,0,False,False,False,False,True,False,ok,site:t.me/s صرافی,
centralbankof_iran,https://t.me/s/centralbankof_iran,صرافی ملی ایران,unknown,0,0,0,False,False,False,False,True,False,ok,site:t.me/s صرافی ایران|site:t.me/s صرافی تهران,
iranexchangeco,https://t.me/s/iranexchangeco,Telegram: Contact @iranexchangeco,unknown,0,0,0,False,False,False,False,True,False,ok,exchange telegram iran,
niavaranexchange,https://t.me/s/niavaranexchange,صرافی نیاوران,unknown,0,0,0,False,False,False,False,True,False,ok,site:t.me صرافی,
profstefanhockertz,https://t.me/s/profstefanhockertz,Prof.Dr.Stefan Hockertz Original,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
pusdt12,https://t.me/s/pusdt12,Pedram,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
qarxis9,https://t.me/s/qarxis9,Raaxo,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
rapsanet,https://t.me/s/rapsanet,Rapsanet TV,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
revalhub,https://t.me/s/revalhub,Telegram: Contact @revalhub,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
rtnews,https://t.me/s/rtnews,Telegram: Contact @rtnews,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sa_j1984,https://t.me/s/sa_j1984,Dr.,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sab6975,https://t.me/s/sab6975,Telegram: Contact @sab6975,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sadaf16,https://t.me/s/sadaf16,Sadaf International Hotel Admin,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sadafhotel,https://t.me/s/sadafhotel,Telegram: Contact @sadafhotel,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
saderat_iraq,https://t.me/s/saderat_iraq,صادرات عراق,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
saf8980,https://t.me/s/saf8980,Haji,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sarafha_admin,https://t.me/s/sarafha_admin,Sarafha,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sarafibahmanica,https://t.me/s/sarafibahmanica,صرافی بهمنی کانادا,unknown,0,0,0,False,False,False,False,True,False,ok,site:t.me صرافی,
sarai_shahzada_rate,https://t.me/s/sarai_shahzada_rate,🇦🇫 گروپ نرخیاب سرای شهزاده کابل افغانستان 🇦🇫,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
sepehrmedia_ads,https://t.me/s/sepehrmedia_ads,تبلیغات سپهر,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
smarttrader_gold,https://t.me/s/smarttrader_gold,SMART TRADER_GOLD,unknown,0,0,0,False,False,False,False,False,False,ok,channel_survey_rescore|previous_scored_rescore,
