handle,title,public_url,source_type,quote_message_count,board_message_count,locality_mentions,localities_detected_count,quote_density_score,median_parseability_score,latest_timestamp,status,top_sample,discovery_origins
sarafibartarlondon,صرافی برتر | لندن,https://t.me/s/sarafibartarlondon,exchange_shop,18,18,London,1,55,58.0,2026-04-29T09:47:30+00:00,ok,"خرید پوند بانکی : 193,000 تومان نرخ‌های بانکی : برای مبالغ بالای 1000 پوند 💷 فروش پوند بانکی (حساب رسمی) : تماس برای کسب قیمت قطعی و اطلاعات بیشتر تماس بگیرید ⁦برای معاملات رسمی با رسید معتبر با ما تماس بگیرید راه‌های ارتباط با ما 🇬🇧 👇🏻 📞 ت...",persian
tahran_sabza,قیمت لحظه ای دلارتهران,https://t.me/s/tahran_sabza,aggregator,18,18,Tehran,1,5,61.0,2026-04-29T16:54:32+00:00,ok,"دلار فردایی تهران ⏳ 175,000 فروش 🔴",iran_seed
frankfurt_euro,فرانکفورت یورو,https://t.me/s/frankfurt_euro,regional_market_channel,20,16,Frankfurt|Germany,2,100,51.5,2026-02-20T10:54:14+00:00,ok,🔸 #خرید_یورو #فرانکفورت آلمان مقدار: 5000 یورو نرخ: 72500 تومان 👤 ارتباط با شخص | @Nimaaa_65 توضیحات: خرید یورو,germany_seed
koln_euro,کلن یورو,https://t.me/s/koln_euro,regional_fx_board,20,16,Cologne|Dusseldorf|Germany|Shiraz,4,100,40.0,2026-04-22T21:21:40+00:00,ok,🔹 #فروش_یورو #دوسلدورف آلمان مقدار: 450 یورو نرخ: 110000 تومان 👤 ارتباط با شخص | @Sara_kias توضیحات: حضوری,germany_seed
poshtkhati_dollar,مظنه پشت خطی دلار,https://t.me/s/poshtkhati_dollar,regional_market_channel,17,16,Herat,1,15,61.0,2026-04-29T18:31:04+00:00,ok,"دلار تـهران فردایی 💸 : 🔵 177, 0 00 خریـــدار 🔴 177,500 فروشنده",afghanistan_seed
sarafionlineuk,Sarafi Online 7 Seven Uk,https://t.me/s/sarafionlineuk,regional_fx_board,15,15,Dubai|Iran|Iraq|London|Turkey|UK,6,100,76,2026-04-29T11:07:08+00:00,ok,"24/04/2026 ✓ قیمت پوند انگلستان ✓ خرید نقدی پوند 185,000 ✓ فروش نقدی پوند 198,000 خرید حسابی پوند 190,000 ✓ فروش حسابی پوند 200,000 ✓ بیشتر از 1,000 پوند بدون کارمزد ✓ قابل توجه ایرانیان پرداخت فوری 1روزه برای واریزی ضروری خانواده محترم در ...",uk_seed
dollarsst,قیمت لحظه ای دلار تهران,https://t.me/s/dollarsst,regional_market_channel,15,15,Herat|Tehran,2,20,45,2025-10-15T17:30:26+00:00,ok,دلار فردایی تهران ⏳ 109600 خــرید 🔵,iran_seed
dollar_tehran3bze,قیمت لحظه‌ای دلار تهران,https://t.me/s/dollar_tehran3bze,unknown,15,15,Tehran,1,5,61,2026-04-29T16:54:10+00:00,ok,"دلار فردایی تهران 175,000 مـعامله شد ✅️",iran_seed
moneytransfersarafi,Money Transfer Sarafi مانی حواله صرافي,https://t.me/s/moneytransfersarafi,regional_fx_board,13,13,Dubai|Iran|Iraq|London|Turkey|UK,6,100,64,2026-04-29T08:42:42+00:00,ok,"21/05/2026 ‌‏ ‎نرخ پوند امروز لندن ‎خريد حساب رسمی: 186,000 ‎خريد حساب ۵،۰۰۰: 184,000 ‎ خريد آنلاین ۲،۰۰۰ 182,000 ‎خر يد پوند نقدی: 180,000 ——— ‎فروش پوند نقدی:198,000 ‎فروش حساب عادی:200,000 ‎ فروش حساب فوری 205,000 ‎فروش حساب رسمی:210,000...",uk_seed
nerkhsarafionline,Nerkh Sarafi Online نرخ صرافي,https://t.me/s/nerkhsarafionline,regional_fx_board,13,13,Dubai|Iran|Iraq|London|Turkey|UK,6,100,64,2026-04-29T08:42:42+00:00,ok,"21/05/2026 ‌‏ ‎نرخ پوند امروز لندن ‎خريد حساب رسمی: 186,000 ‎خريد حساب ۵،۰۰۰: 184,000 ‎ خريد آنلاین ۲،۰۰۰ 182,000 ‎خر يد پوند نقدی: 180,000 ——— ‎فروش پوند نقدی:198,000 ‎فروش حساب عادی:200,000 ‎ فروش حساب فوری 205,000 ‎فروش حساب رسمی:210,000...",uk_seed
sarafionline7groupuk,Nerkh Sarafi Online 7 Group Uk,https://t.me/s/sarafionline7groupuk,regional_fx_board,13,13,Dubai|Iran|Iraq|London|Tehran|Turkey|UK,7,100,76,2026-04-29T09:27:04+00:00,ok,". ⭕️ قیمت ارزهای آزاد | پنجشنبه 3 اردیبهشت 1405 - 11:40 🇺🇸 دلار : 1,545,100 ریال 🇪🇺 یورو : 1,808,200 ریال 🇬🇧 پوند انگلیس : 2,085,000 ریال 🇦🇪 درهم امارات : 420,800 ریال 🇹🇷 لیر ترکیه : 34,500 ریال 🇨🇭 فرانک سوئیس : 1,970,000 ریال 🇩🇰 کرون دانما...",uk_seed
hiemarat,اطلاع رسانی نرخ درهم امارات و طلا دبی، نقره و تتر,https://t.me/s/hiemarat,exchange_shop,15,13,Dubai|Iran|Turkey,3,90,60,2026-04-29T17:05:47+00:00,ok,"درهم در بازار ایران: 50,400 تومان 🇮🇷 تغییرات: 4,490 تومان به‌روزرسانی: 2026-04-29 14:02",uae_seed
navasanchannel,نوسان - اعلان لحظه ای نرخ ارز و سکه,https://t.me/s/navasanchannel,regional_fx_board,16,12,Dubai|Iran|Tehran|Turkey|UK,5,100,81.0,2026-04-30T05:00:22+00:00,ok,"💵 دلار آمریکا فروش 🔴 : 175,000 تومان 💵 دلار آمریکا خرید 🔵 : 174,600 تومان 💶 یورو فروش : 204,770 تومان دلار کانادا فروش 🇨🇦 : 130,790 تومان درهم امارات 🇦🇪 : 48,100 تومان سکه امامی ✴️ : 198,500,000 تومان سکه بهار آزادی ✴️ : 192,500,000 تومان ن...",existing_registry|iran_seed|persian
nerkh_uk,نرخ ارز Nerkh_Uk,https://t.me/s/nerkh_uk,regional_fx_board,12,12,Dubai|Iran|Iraq|London|Turkey|UK,6,100,58.0,2026-04-28T08:39:09+00:00,ok,". ⭕️ قیمت ارزهای آزاد | سه شنبه 1 اردیبهشت 1405 - 11:55 🇺🇸 دلار : 1,513,100 ریال 🇪🇺 یورو : 1,780,300 ریال 🇬🇧 پوند انگلیس : 2,043,700 ریال 🇦🇪 درهم امارات : 412,120 ریال 🇹🇷 لیر ترکیه : 33,700 ریال 🇨🇭 فرانک سوئیس : 1,940,600 ریال 🇩🇰 کرون دانما...",persian|uk_seed
sabzemaidan,نرخ دلار سبزه تهران,https://t.me/s/sabzemaidan,regional_market_channel,14,12,Tehran,1,100,71.0,2026-04-29T18:46:58+00:00,ok,"𝐒𝐚𝐛𝐳𝐞𝐌𝐚𝐢𝐝𝐚𝐧 دلار سبزه تهران: 178,200 فروش #فردایی 🔴 ™️ @SabzeMaidan | 🔙 نرخ #دلارتهران",iran_seed
haratdollar,دلار هرات 🅅🄸🄿,https://t.me/s/haratdollar,unknown,16,12,Herat,1,0,66.0,2026-04-30T05:08:50+00:00,ok,"هرات نــقدی 💵 175,500 فروش 🔴",afghanistan_seed|existing_registry
exchangeratescountries,نرخ ارز ساعتی £ $ €,https://t.me/s/exchangeratescountries,regional_fx_board,17,11,Dubai|Iran|Iraq|London|Turkey|UK,6,100,79,2026-04-29T10:42:30+00:00,ok,". ⭕️ قیمت ارزهای آزاد | یکشنبه 6 اردیبهشت 1405 - 12:06 🇺🇸 دلار : 1,571,100 ریال 🇪🇺 یورو : 1,842,000 ریال 🇬🇧 پوند انگلیس : 2,125,900 ریال 🇦🇪 درهم امارات : 427,930 ریال 🇹🇷 لیر ترکیه : 34,900 ریال 🇨🇭 فرانک سوئیس : 2,002,500 ریال 🇩🇰 کرون دانمار...",uk_seed
herat_tomen,هرات تومن دالر,https://t.me/s/herat_tomen,unknown,16,11,Herat,1,0,63,2026-04-30T05:08:34+00:00,ok,"هرات امروزی ☀️ 175,200 فروش 🔴",afghanistan_seed
toofan_harirod,💰طوفان هریرود💰,https://t.me/s/toofan_harirod,unknown,16,11,Herat,1,0,66,2026-04-30T05:08:33+00:00,ok,"هرات امروزی ☀️ 175,200 فروش 🔴",afghanistan_seed|existing_registry
groupsarafilondonuk,گروه تجاری مالی لندن London,https://t.me/s/groupsarafilondonuk,regional_fx_board,13,8,Dubai|Iran|London|Turkey|UK,5,100,76.0,2026-04-29T09:23:36+00:00,ok,"گروه صرافي لندن قیمت پوند انگلستان 23/04/2026 ✓ خرید پوند حساب 190,000 ✓ فروش پوند حساب 200,000 ✓ خرید پوند نقدی 185,000 ✓ فروش پوند نقدی 195,000 ✓ فروش پوند حساب رسمی 210,000 ✓ بیشتر از مبالغ 1,000£ بدونه کارمزد ✓ خرید و فروش ارز‌دیجیتال ت...",uk_seed
sarafijavan,SARAFI JAVAN | صرافی جوان لندن پوند خرید و فروش قیمت پوند نرخ ارز حواله دلار کانادا آمریکا درهم CAD EURO انگلیس یورو,https://t.me/s/sarafijavan,regional_fx_board,19,8,Dubai|London|UK,3,100,69.0,2026-04-29T09:20:39+00:00,ok,"🟢 185,000 تومـــان خـــریـــ‌‌ـد ما (پــوند حسابی) 🔴 200,000 تومـــان فــــــروش ما (پــوند حسابی) ⭐️ انتقال سریع، مطمئن و شفاف ⭐️ ⸻ 📌 قیمت‌های فروش امروز – صرافی جوان London – Javan Exchange قیمت ها 💸 پوند : 200,000 💵 دلار : 166,000 💸 یورو...",persian
turan_ex,صرافی🇹🇷توران🇮🇷ازمیر - TURAN Exchange,https://t.me/s/turan_ex,exchange_shop,9,8,Dubai|Herat|Iran|Istanbul|Izmir|Tehran|Turkey,7,100,57.0,2026-04-29T07:42:06+00:00,ok,"هرات فردایی ⏳ 157,000 فروش 🔴",afghanistan_seed
dirhamdubai,نرخ انلاین درهم دبی,https://t.me/s/dirhamdubai,aggregator,9,8,Dubai|Iran|Tehran,3,60,58.0,2026-04-29T11:10:00+00:00,ok,"حدود مظنه درهم ( Dirham ) دبي 🇦🇪 44,700 🇦🇪 @DirhamDubai ری‌اکشن شما به ما انرژی میده ❤️",iran_seed|uae_seed
danielexchange,صرافی دانیال لندن - Sarafi Daniel London,https://t.me/s/danielexchange,regional_market_channel,7,7,London|UK,2,100,68,2026-04-28T09:28:16+00:00,ok,"💷 خرید نقدی پوند : 185,000 تومان 💷 فروش نقدی پوند : Call تومان 🔸 شامل مبالغ کش(نقدی) ======================== 💷 خرید پوند بانکی : 185,000 تومان 💷 فروش پوند بانکی: Call تومان 🔸 شامل مبالغ انتقال بانکی ✴️ خرید و فروش قانونی ارز با ارایه نامه ...",persian|uk
gold_mesghal,👎💰 تحلیل تکنیکال آبشده نقدی رسمی و غیررسمی Gold_Mesghal 💰👍,https://t.me/s/gold_mesghal,regional_fx_board,16,7,Iraq|Mashhad|Tehran,3,100,76,2026-04-29T20:36:30+00:00,ok,"نرخ فروش #دلار ، #ارز ، #سکه و #طلا در بازار -- تغییر نسبت به دیروز - درصد 💵 دلار: 166,050 تومان 230 🔼 %0.14+ 💶 یورو: 195,960 تومان 350 🔼 %0.18+ 💷 پوند: 223,740 تومان 10 🔻 ‏ 🇨🇦 دلار کانادا: 121,450 تومان 280 🔼 %0.23+ ‏ 🇦🇺 دلار استرالیا: 118...",iran_seed
boonbas,بن بست بانک مرکزی صرافی ارز مجازی دلار تتر بیت کوین سکه حواله یورو خرید فروش طلا مثقال ابشده بازار جهانی بورس فارکس خودرو سهام,https://t.me/s/boonbas,regional_fx_board,17,6,Herat|Iran|Tehran,3,100,48.0,2025-09-25T09:01:22+00:00,ok,چارت دلار تهران تایم روزانه مقاومت ۹۱۵۰۰ و ۹۳۰۰۰ و ۹۵۰۰۰ حمایت ۹۰۰۰۰ و ۸۹۰۰۰ و ۸۷۰۰۰,afghanistan_seed|iran_seed
munich_euro,مونیخ یورو,https://t.me/s/munich_euro,unknown,19,5,Germany|Munich,2,100,40,2026-04-15T10:29:50+00:00,ok,🔹 #فروش_یورو #مونیخ آلمان مقدار: 200 یورو نرخ: 72000 تومان 👤 ارتباط با شخص | @r_h_z_13 توضیحات: @r_h_z_13,germany_seed
iranianerbil2,ایرانیان اربیل,https://t.me/s/iranianerbil2,exchange_shop,5,5,Baghdad|Erbil|Iran|Iraq|Sulaymaniyah|UK,6,95,42,2026-02-25T04:42:13+00:00,ok,"صدور اقامت یکساله اربیل 🎖 🎖 اقامت یکساله اولی ها 🎖 🎖 (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 🎖 تمدیدی یکساله و شش ماهه (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 هزینه آزمایش خون نیز 85,000 دینار م...",existing_registry
banehdollar,$ بانه دلار $,https://t.me/s/banehdollar,regional_fx_board,6,4,Baghdad|Dubai|Iran|Iraq|Qom|Tehran|UK,7,100,55.0,2026-02-28T07:13:42+00:00,ok,"1404/12/06 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 164,100 🔴 فروش دلار بانه نقدی 163,600 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @banehdollar",existing_registry
sepehrexchange1,حواله فوری یوآن CNY 🇨🇳 RMB,https://t.me/s/sepehrexchange1,regional_fx_board,4,3,Dubai|Herat|Iran|Sulaymaniyah|Tehran|Turkey,6,100,70,2026-04-29T09:18:41+00:00,ok,"⭕️ #قیمت_دلار 1405/02/08 🔸 دلار تهران وارد کانال ""164,000"" تومان شد. 🆔 @SepehrExchange1 ╰══•◍⃟ 🌾 •══╯",persian
lubrinol,lubrinol,https://t.me/s/lubrinol,regional_market_channel,4,2,Dubai|Essen|Germany|Herat|Iran|Iraq|Tehran|Turkey|UK,9,100,43.5,2021-08-24T07:17:28+00:00,ok,🗓 1400/04/10 23:40 نرخ های پایان امروز : دلار #آزاد در تهران : 25.100 🇺🇸 ➖ یورو اتحادیه اروپا : 29.750 🇪🇺 ➖ پوند انگلیس : 34.350 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🔺 درهم امارات : 6.850 🇦🇪 ➖ 🥇 سکه نقدی/امامی : 10.725.000 🔻 🥇 نیم سکه : 5.750.000 ➖ 🥇 ربع سکه : 3.700.00...,afghanistan_seed
herat_channel2024,هرات افغانستان,https://t.me/s/herat_channel2024,aggregator,1,1,Afghanistan|Herat|Iran|Iraq|Kabul|Tehran,6,100,45,2025-01-22T16:52:33+00:00,ok,"دلار فردایی تهران ⛳️ 83,‌‌‌‌‌‌‌‌000 خـرید 🔵 دلار فردایی تهران ⛳️ 83,050 فروش 🔴 دلار فردایی تهران ⛳️ 83,‌‌‌000 معامله ✅",afghanistan_seed|iran_seed
istanbulexchange_com,نرخ لحظه‌ای دلار، لیر، یورو کاپالی چارشی استانبول,https://t.me/s/istanbulexchange_com,regional_market_channel,19,1,Istanbul|Turkey,2,100,90,2026-04-29T12:30:44+00:00,ok,"نرخ ارز در بازار استانبول با لیر 🇹🇷 چهارشنبه ۹ اردیبهشت ۱۴۰۵ ساعت ۱۵:۳۰ ترکیه نام ارز فروش خرید دلار 45,019 44,955 یورو 52,690 52,523 یورو با دلار 1.170 1.168 درهم 12,282 12,191 پوند 60,726 60,343 یوان 6,579 6,557 دلار کانادا 33,090 32,428 ...",persian
kabul_dollarrate,کابل ډالر نرخونه,https://t.me/s/kabul_dollarrate,regional_fx_board,3,1,Dubai|Iraq|Jalalabad|Kabul|Turkey|UK,6,100,47,2026-01-04T05:31:21+00:00,ok,دټولو هیوادونو نرخونه 🔷 هر دلار 66.0 افغانی 🔷 هر دلار کانادا 48.1 افغانی 🔷 هر دلار استرالیا 44.2 افغانی 🔷 هر یورو 77.4 افغانی 🔷 هر پوند انگلیس 88.9 افغانی 🔷 هر فرانک سوییس 83افغانی 🔷 هر لیر ترکیه 1.5 افغانی 🔷 هر درهم امارات 18.0 افغانی 🔷 هر...,afghanistan_seed
munich_online,مونیخ آنلاین، نیازمندیهای مونیخ,https://t.me/s/munich_online,exchange_shop,0,1,Germany|Iran|Munich|Turkey,4,100,66,2026-03-25T15:27:44+00:00,ok,🔴 #خرید 🏙 شهر: مونیخ ، آلمان توضیحات: سلام دوستان ایا در این گروه کسی است که از طرف 81737 Ramesdorf- perlach München یا از Grünwald München به طرف اشتوت گارت بیاد من دوتا پرنده گرفتم با پست نمیشه اورد در یک قفس کوچیک ۱۵سانت در ۱۵ سانت است م...,germany_seed
pargarexchangegroup,Exchange USD/EUR/IRR,https://t.me/s/pargarexchangegroup,regional_fx_board,7,1,Afghanistan|Germany|Herat|Iran|Iraq|Qom|Turkey|UK,8,100,45,2025-10-28T13:53:45+00:00,ok,صد نفر کد تخفیف ۷۰٪ تمام شد صد و پنجاه نفر کد تخفیف ۶۰٪ تمام شد ۲۵۰ تا ثبت نام در کمتر از ۱۸ ساعت انجام شد، چرا؟ چون شماها خیلی باهوشید ، چون میدونید ارزش سه سال (حتی زرنگ باشین دو سال) شهروندی یک کشور خوشگل، آزاد، امن، مردمان خونگرم که کال...,persian
roya_mah_e_sefid,رویای مهاجرت با ماه سفید,https://t.me/s/roya_mah_e_sefid,regional_fx_board,4,1,Dubai|Germany|Iran|Istanbul|Munich|Rasht|Tehran|UK,8,100,80,2026-04-29T07:13:17+00:00,ok,"دلار فردایی تهران :171,500 خرید 🔵 دلار فردایی تهران ⛳ 171,550 فروش 🔴 دلار فردایی تهران ⛳ 171,500 معامله ✅ 💰 #تتر [USDT] 170,878فروش ♦️ 💰 #آبشده_نقدی 85,000,000 فروش ♦️ ✨ #طلا_گرمی 19,622,780 سکه ⏳ فردایی: 194,230,000 معامله ✅ 🔹 انس: 4596.26...",persian
almaexchange,حواله یورو | حواله دلار | حواله درهم | حواله لیر| Almaexchange,https://t.me/s/almaexchange,regional_market_channel,7,1,Istanbul|Tehran|Turkey,3,60,56,2023-05-23T09:45:12+00:00,ok,🇺🇸 🇺🇸 52500دلار نقدی تهران 🇺🇸 🇺🇸 🇪🇺 🇪🇺 56800یورو نقدی تهران 🇪🇺 🇪🇺 🇹🇷 🇹🇷 53200 دلار استانبول 🇹🇷 🇹🇷 🇹🇷 🇹🇷 2620 لیر نقدی استانبول 🇹🇷 🇹🇷 نرخ فروش درهم دبي 🇦🇪 14620 🇦🇪,germany_seed|persian
aksoygold,صرافی عابدی,https://t.me/s/aksoygold,regional_fx_board,4,0,Dubai|Herat|Iran|Istanbul|Tehran|Turkey|UK,7,100,0.0,,ok,,persian
arzchande,ارز چنده؟ | Bonbast | بن بست,https://t.me/s/arzchande,regional_fx_board,20,0,Afghanistan|Dubai|Iraq|Turkey|UK,5,100,0.0,,ok,,existing_registry|iran_seed
bazar360,Bazar360.com نرخ ارز,https://t.me/s/bazar360,regional_fx_board,20,0,Dubai|Iraq|Tehran|Turkey|UK,5,100,0.0,,ok,,iran_seed|persian
berlin_online,برلین آنلاین,https://t.me/s/berlin_online,exchange_shop,1,0,Berlin|Essen|Germany|Iran|Turkey,5,100,0.0,,ok,,germany_seed
bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,https://t.me/s/bonbast_exchange,regional_market_channel,20,0,UK,1,100,0.0,,ok,,existing_registry|iran_seed
dirhamreyt,🇦🇪درهم ریت نرخ دقیق حواله🇮🇷,https://t.me/s/dirhamreyt,exchange_shop,18,0,,0,100,0.0,,ok,,persian
emroz_chand,قیمت ارز و دلار | امروز چند؟,https://t.me/s/emroz_chand,regional_market_channel,20,0,Dubai|UK,2,100,0.0,,ok,,persian
glasgowexchange,صرافی گلاسکو (لندن),https://t.me/s/glasgowexchange,exchange_shop,16,0,London|UK,2,100,0.0,,ok,,persian
helfenads,هلفن، نيازمندى هاى آلمان,https://t.me/s/helfenads,exchange_shop,1,0,Cologne|Essen|Frankfurt|Germany|Hamburg|Hannover|Iran|Stuttgart|Tehran,9,100,0.0,,ok,,germany_seed
idealexchangeco,صرافی ایده آل (IDEALEXCHANGE),https://t.me/s/idealexchangeco,exchange_shop,10,0,,0,100,0.0,,ok,,persian
istanbulim_com,قیمت لحظه‌ای لیر، دلار، یورو صرافی استانبول,https://t.me/s/istanbulim_com,regional_market_channel,20,0,Istanbul|Turkey,2,100,0.0,,ok,,persian
mazanehnet,مظنه ارز در بازار تهران,https://t.me/s/mazanehnet,regional_fx_board,19,0,Iran|Turkey,2,100,0.0,,ok,,iran_seed
persianlondonexchange,Persian London Exchange | صرافی پرشین لندن,https://t.me/s/persianlondonexchange,exchange_shop,5,0,Iran|London|Tehran,3,100,0.0,,ok,,uk|uk_seed
poundbazar,پوندبازار,https://t.me/s/poundbazar,exchange_shop,19,0,,0,100,0.0,,ok,,uk_seed
poundlandonline,پوند لند آنلاين 1,https://t.me/s/poundlandonline,regional_fx_board,17,0,Iran|London|UK,3,100,0.0,,ok,,uk_seed
qheimat_dolar_sabze,نرخ دلار و طلا و سکه تهران,https://t.me/s/qheimat_dolar_sabze,regional_market_channel,20,0,Dubai,1,100,0.0,,ok,,iran_seed|persian
sarafha_com,نرخ لحظه ای ارز و طلا,https://t.me/s/sarafha_com,regional_fx_board,17,0,Dubai|Turkey|UK,3,100,0.0,,ok,,existing_registry
sarafha_rate,کانال قیمت لحظه ای دلار، یورو، سکه و طلا,https://t.me/s/sarafha_rate,regional_fx_board,12,0,Dubai|Turkey|UK,3,100,0.0,,ok,,existing_registry|persian
zarbanexch,Zarban - زربان: نرخ ارز در تورنتو,https://t.me/s/zarbanexch,regional_market_channel,7,0,Dubai|Iran,2,100,0.0,,ok,,existing_registry|persian
zarscan,زر اسکن | قیمت لحظه ای طلا و دلار,https://t.me/s/zarscan,unknown,20,0,,0,100,0.0,,ok,,iran_seed
euro_bazaar,کانال صرافی آلمان,https://t.me/s/euro_bazaar,regional_market_channel,5,0,Berlin|Cologne|Dusseldorf|Essen|Frankfurt|Germany|Hamburg|Hannover|Iran,9,95,0.0,,ok,,germany_seed
dolarefeham,🔵 خبر دلار فهام 🔴,https://t.me/s/dolarefeham,aggregator,20,0,Sulaymaniyah|Tehran,2,90,0.0,,ok,,iran_seed
hawaladari,حواله پولی حیدریان,https://t.me/s/hawaladari,unknown,4,0,Dubai|Herat|Turkey,3,90,0.0,,ok,,germany_seed
niavaranexchang,Niavaran Exchange London,https://t.me/s/niavaranexchang,regional_fx_board,3,0,Dubai|Iran|London|Turkey|UK,5,90,0.0,,ok,,uk
idepardazan_business,بازرگانی ایده پردازان,https://t.me/s/idepardazan_business,exchange_shop,1,0,Dubai|Iran,2,25,0.0,,ok,,persian
ankaracity,📡 Chain Voice,https://t.me/s/ankaracity,exchange_shop,3,0,,0,20,0.0,,ok,,persian
dollar_sulaymaniyah,قیمت لحظه ای دلار سلیمانیه,https://t.me/s/dollar_sulaymaniyah,regional_market_channel,11,0,,0,15,0.0,,ok,,existing_registry
