handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
nazeran_money_services,https://t.me/s/nazeran_money_services,,unknown,unclear,False,0,0,False,False,False,,not_crawled
nazeranexchange,https://t.me/s/nazeranexchange,صرافی ناظران|Nazeran exchange,Mashhad,unclear,False,40,3,True,True,True,📌 سپرده های ۳۰ درصدی تمدید شد با وجود سررسید اوراق گواهی سپرده خاص در بانک ها، این اوراق با نرخ قبلی ۳۰ درصدی تمدید شدند.,ok
niavaranexchange,https://t.me/s/niavaranexchange,صرافی نیاوران,unknown,unclear,False,4,0,True,False,True,,ok_no_text
onefinex,https://t.me/s/onefinex,صرافی ارز دیجیتال وانفینکس,unknown,aggregator,False,95,20,False,False,True,"📣 وضعیت امروز بازار ارز دیجیتال ━━━━━━━━━━━━━━━ BTC Dominance: 58.23% Fear & Greed Index: 7 (ترس شدید) BTC: $67,592.5 ETH: $1,964.67 USDT: 165,197.0 Gold: $5,056.72 ━━━━━━━━━━━━━━━ 🤩 @onefinex | صرافی وانفینکس",ok
onefinex_support,https://t.me/s/onefinex_support,,unknown,unclear,False,0,0,False,False,False,,not_crawled
online,https://t.me/s/online,,unknown,unclear,False,0,0,False,False,False,,not_crawled
persepolissarafi,https://t.me/s/persepolissarafi,صرافی پرسپولیس,unknown,unclear,False,13,0,True,True,True,"سکه امامی ✴️ : 210,000,000 تومان سکه بهار آزادی ✴️ : 205,000,000 تومان نیم سکه ✴️ : 110,000,000 تومان ربع سکه ✴️ : 60,000,000 تومان سکه گرمی ✴️ : 22,500,000 تومان طلای 18 عیار هر گرم ✴️ : 22,300,200 تومان مثقال طلای آبشده ✴️ : 96,600,000 تو",ok
pooyaexchange,https://t.me/s/pooyaexchange,Telegram: Contact @pooyaexchange,unknown,unclear,False,0,0,False,True,True,,ok_no_text
qheimat_dolar_sabze,https://t.me/s/qheimat_dolar_sabze,نرخ دلار و طلا و سکه تهران,Tehran,individual_exchange_shop,True,95,20,False,False,True,"📌 قیمت لحظه‌ای ارز | ۱۴۰۴/۱۲/۰۵ 💵 دلار آمریکا | 163,470 تومان 📉 - | 🔺 163,470 | 🔻 162,330 💶 یورو | 192,920 تومان 📉 - | 🔺 193,110 | 🔻 191,450 🇦🇪 درهم امارات | 44,536 تومان 📉 - | 🔺 44,538 | 🔻 44,227 ₿ بیت کوین | 63,209.00 دلار (≈ 10,332,775,2",ok
radiofarda,https://t.me/s/radiofarda,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sanachange,https://t.me/s/sanachange,صرافی ارز دیجیتال ثناچنج | Sanachange,unknown,aggregator,False,41,4,True,False,True,❗️ سرقت بیش از ۶ میلیون دلار از کاربران تراست ولت تراست ولت (Trust Wallet)، ارائه‌دهندهٔ کیف پول چند زنجیره‌ای ارز دیجیتال، از نقض امنیتی در نسخهٔ افزونهٔ مرورگر خود خبر داد که منجر به سرقت بیش از ۶ میلیون دلار از کاربران شد. این آسیب‌پذیری,ok
sanachange_support,https://t.me/s/sanachange_support,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_adonis,https://t.me/s/sarafi_adonis,صرافی آدونیس Adonis Exchange,Istanbul,individual_exchange_shop,True,54,4,True,False,True,رسانه اطلاع‌رسانی قیمت لحظه‌ای ارز در استانبول 📆 تاریخ: جمعه 1404/09/07 🔹 قیمت لحظه‌ای لیر ترکیه در استانبول: 2733 تومان ⚠️ لطفاً جهت خرید یا فروش، از طریق تماس تلفنی یا واتساپ با ما در ارتباط باشید. 🙏 📞 +90 554 485 7070 📞 +90 554 489 7070 ,ok
sarafi_hamburg,https://t.me/s/sarafi_hamburg,Sarafi Hamburg صرافی هامبورگ @sarafi_hamburg,Hamburg,unclear,False,29,1,True,True,True,Sarafi Hamburg صرافی هامبورگ @sarafi_hamburg pinned Deleted message,ok
sarafibahmani,https://t.me/s/sarafibahmani,صرافی بهمنی®,unknown,unclear,False,11,0,False,False,True,👩🏻‍💼 🏔 زنان در اوج کسب و کارها جولیا کالینز Julia Collins (مدیر عامل و هم بنیان‌گذار Zume Pizza) @SarafiBahmani #صرافی_بهمنی,ok
sarafijafari,https://t.me/s/sarafijafari,صرافی جعفری,unknown,market_price_channel,False,76,10,True,False,True,"نرخ تبادل اسعار بازار کابل 👇 هر یک دالر امریکا برابر است با : 🇦🇫 63,25 افغانـــــی 🇹🇷 43,88 لیــره ترکیــــــه 🇮🇷 164,400 تومان ایران 🇵🇰 297,60 روپیه پاکستان 🇸🇪 9,03 کــرون سویدن 🇦🇪 3,670 درهم امارات 🇪🇺 یک یورو برابر است با 1,151 دالر امریک",ok
sarafimoneymex,https://t.me/s/sarafimoneymex,Sarafi MoneyMex صرافی مانيمكس,Tehran,dealer_network_channel,False,46,5,True,False,True,"🟢 خرید (از استرالیا به ایران): 116,400 تومان 🔴 فروش (از ایران به استرالیا): 117,000 تومان ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ تاریخ: 2026/02/26 مانیمکس|سالهاست اولین انتخاب شما هستیم MoneyMex.com",ok
sarafipars,https://t.me/s/sarafipars,صرافی پارس,unknown,unclear,False,15,0,False,False,True,❌ جهت اطلاع از قیمت دقیق ارز با دفتر صرافی تماس حاصل فرمایید. برای پشتیبانی واتساپ ⬅️ کلیک کنید www.instagram.com/sarafipars.eu 🆔 @sarafipars,ok
sarafitehrani,https://t.me/s/sarafitehrani,صرافي تهراني,Tehran,unclear,False,15,0,False,False,True,با عضویت در کانال صرافی تهرانی آخرین نرخ ارز را به صورت روزانه دریافت نمایید 🆔 @sarafitehrani 📡 www.tehraniexchange.com ☑ www.instagram.com/tehraniexchange/,ok
sarafy_hafez,https://t.me/s/sarafy_hafez,صرافی حافظ کانادا Hafez Exchange,Tehran,individual_exchange_shop,True,67,6,True,False,True,"🔹 دلار آمریکا ؛ 164,960 🔸 دلار کانادا ؛ 120,640 ▫️ اونس :5,193.17 ▪️ بیت کوین :64,898 📆 25 Feb 202 6 (( 📍 قیمت ها ، قیمت دلار کاغذی در ایران میباشد ، جهت اطلاع از قیمت حواله لطفا با کارشناسان صرافی حافظ در ارتباط باشید)) 📲 🇨🇦 Vancouver ; +1",ok
sekkeh_saraf_yaran,https://t.me/s/sekkeh_saraf_yaran,صرافی یاران,unknown,unclear,False,14,0,True,True,True,telegram: @sekkeh_saraf_yaran Tel: 02149124 web: www.sarafiyaran.com,ok
tabdealannounce,https://t.me/s/tabdealannounce,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tabdealplatform,https://t.me/s/tabdealplatform,Tabdeal.org | صرافی تبدیل,unknown,dealer_network_channel,False,48,5,True,False,True,📣 بازار کریپتو امروز پنج‌شنبه ۷ اسفند ۱۴۰۴ 💰 بیت‌کوین با صعود ۴.۷ درصدی نسبت به صبح روز گذشته بالاتر از ۶۸،۱۰۰ دلار ایستاده و اتریوم 💰 با جهش ۹ درصدی بالای ۲،۰۶۰ دلار معامله‌ می‌شود. 💰 قیمت تتر (معادل دلار): (۰٪+): ۱۶۵،۷۹۵ تومان ⭐️ قیمت پکس,ok
tradepro_ai,https://t.me/s/tradepro_ai,,unknown,unclear,False,0,0,False,False,False,,not_crawled
